Plant code;Primary Plant activity;Audit code;Audit date;Audit nature;Audit schedule type;Non-verified NCs;Non-verified Business Critical NCs;Non-verified Critical NCs;Non-verified Major NCs;Non-verified Minor NCs;Overdue non-verified NCs;Country/Region
XXX1000027715;Warehousing and storage;XXXA600050422;04/03/2024;Full initial audit;Announced;6;0;1;2;3;6;France
XXX1000027869;Manufacture of other food products n.e.c.;;;;;;;;;;;United States
XXX1000028001;Manufacture of prepared animal feeds;XXXA600085452;05/09/2024;Full initial audit;Announced;4;0;0;3;1;4;Brazil
XXX1000029565;Printing;XXXA600122813;08/04/2025;Periodic audit;Semi-announced;6;0;0;3;3;6;Mexico
XXX1000030034;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600196198;07/04/2026;Partial follow-up audit;Semi-announced;0;0;0;0;0;0;India
XXX1000030040;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600190403;13/04/2026;Periodic audit;Announced;5;0;3;1;1;3;Brazil
XXX1000030418;Manufacture of plastics products;;;;;;;;;;;Brazil
XXX1000030849;Manufacture of other food products n.e.c.;XXXA600081248;12/08/2024;Full initial audit;Announced;7;0;2;5;0;7;Turkey
XXX1000031329;Manufacture of other food products n.e.c.;;;;;;;;;;;Turkey
XXX1000031511;Manufacture of sugar;XXXA600167705;12/11/2025;Periodic audit;Semi-announced;3;0;0;2;1;3;Indonesia
XXX1000032376;Manufacture of other articles of paper and paperboard;XXXA600169793;02/12/2025;Periodic audit;Semi-announced;17;0;2;13;2;17;Mexico
XXX1000032725;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600110610;24/01/2025;Partial follow-up audit;Announced;0;0;0;0;0;0;Slovakia
XXX1000032891;Manufacture of dairy products;;;;;;;;;;;Mexico
XXX1000032916;Manufacture of sugar;XXXA600197345;16/04/2026;Periodic audit;Semi-announced;7;0;2;4;1;1;Viet Nam
XXX1000033;Manufacture of vegetable and animal oils and fats;XXXA600075312;03/07/2024;Periodic audit;Semi-announced;0;0;0;0;0;0;Egypt
XXX1000033062;Courier activities;XXXA600152761;06/01/2026;Full initial audit;Announced;7;0;1;3;3;3;United Kingdom
XXX1000033406;Warehousing and storage;XXXA600107884;10/04/2025;Full initial audit;Announced;4;0;1;2;1;4;Germany
XXX1000033765;Warehousing and storage;XXXA600148983;04/08/2025;Full initial audit;Announced;0;0;0;0;0;0;Ukraine
XXX1000033789;Warehousing and storage;XXXA600102897;11/02/2025;Full initial audit;Announced;0;0;0;0;0;0;Spain
XXX1000034330;Warehousing and storage;XXXA600065533;10/06/2024;Full initial audit;Semi-announced;0;0;0;0;0;0;Hungary
XXX1000034442;Manufacture of plastics products;XXXA600072280;08/07/2024;Full initial audit;Semi-announced;0;0;0;0;0;0;Pakistan
XXX1000034593;Warehousing and storage;XXXA600089410;01/10/2024;Full initial audit;Announced;0;0;0;0;0;0;Romania
XXX1000034677;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600105859;18/03/2025;Partial follow-up audit;Semi-announced;0;0;0;0;0;0;United Kingdom
XXX1000034677;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600105859;18/03/2025;Partial follow-up audit;Semi-announced;0;0;0;0;0;0;United Kingdom
XXX1000035017;Manufacture of bakery products;XXXA600148806;22/09/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;United States
XXX1000035018;Manufacture of bakery products;XXXA600085455;16/09/2024;Full initial audit;Announced;0;0;0;0;0;0;United States
XXX1000035263;Manufacture of bakery products;;;;;;;;;;;United States
XXX1000035374;Manufacture of other food products n.e.c.;;;;;;;;;;;United States
XXX1000035594;Manufacture of other articles of paper and paperboard;;;;;;;;;;;India
XXX1000035634;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600091322;03/10/2024;Full initial audit;Announced;1;0;0;1;0;1;Canada
XXX1000035882;Warehousing and storage;XXXA600158193;10/11/2025;Full initial audit;Announced;0;0;0;0;0;0;Norway
XXX1000036351;Manufacture of bakery products;XXXA600162409;23/10/2025;Periodic audit;Semi-announced;13;0;1;10;2;13;United States
XXX1000036459;Manufacture of bakery products;XXXA600185648;09/03/2026;Periodic audit;Announced;0;0;0;0;0;0;Italy
XXX1000036841;Manufacture of dairy products;XXXA600159082;13/11/2025;Partial follow-up audit;Announced;1;0;0;0;1;1;United Kingdom
XXX1000036978;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600099842;19/11/2024;Full initial audit;Semi-announced;2;0;0;2;0;2;Viet Nam
XXX1000036994;Manufacture of bakery products;XXXA600088892;27/11/2024;Full initial audit;Announced;0;0;0;0;0;0;Uruguay
XXX1000037014;Manufacture of bakery products;XXXA600103925;09/12/2024;Partial follow-up audit;Announced;0;0;0;0;0;0;Argentina
XXX1000037023;Warehousing and storage;XXXA600197921;27/04/2026;Partial follow-up audit;Announced;0;0;0;0;0;0;Mexico
XXX1000037044;Manufacture of vegetable and animal oils and fats;XXXA600189149;04/03/2026;Partial follow-up audit;Announced;2;0;0;1;1;1;Mexico
XXX1000037886;Warehousing and storage;;;;;;;;;;;Mexico
XXX1000038235;Manufacture of grain mill products;XXXA600080495;08/08/2024;Full initial audit;Semi-announced;5;0;3;2;0;5;India
