Plant code;Primary Plant activity;Audit code;Audit date;Audit nature;Audit schedule type;Non-verified NCs;Non-verified Business Critical NCs;Non-verified Critical NCs;Non-verified Major NCs;Non-verified Minor NCs;Overdue non-verified NCs;Country/Region
XXX1039899;Manufacture of plastics products;XXXA600095520;24/10/2024;Partial follow-up audit;Announced;0;0;0;0;0;0;Nigeria
XXX1039902;;;;;;;;;;;;India
XXX1039919;Warehousing and storage;;;;;;;;;;;South Africa
XXX1039924;Manufacture of vegetable and animal oils and fats;XXXA600087546;05/11/2024;Full initial audit;Announced;0;0;0;0;0;0;United States
XXX1039952;;;;;;;;;;;;Mexico
XXX1039958;Manufacture of pharmaceuticals, medicinal chemical and botanical products;XXXA600168078;24/11/2025;Periodic audit;Announced;10;0;1;8;1;10;Mexico
XXX1040033;Manufacture of sugar;XXXA600192269;31/03/2026;Periodic audit;Announced;7;0;1;4;2;1;United States
XXX1040104;Manufacture of sugar;XXXA600187688;02/03/2026;Periodic audit;Semi-announced;2;0;0;2;0;1;Nigeria
XXX1040123;Manufacture of plastics and synthetic rubber in primary forms;XXXA600073632;18/11/2024;Full initial audit;Semi-announced;0;0;0;0;0;0;Belgium
XXX1040238;Manufacture of plastics products;;;;;;;;;;;Mexico
XXX1040279;;;;;;;;;;;;Hong Kong
XXX1040313;Manufacture of other chemical products n.e.c.;XXXA261642107;16/11/2016;Full initial audit;Announced;0;0;0;0;0;0;Argentina
XXX1040423;;;;;;;;;;;;Netherlands
XXX1040450;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA402625719;01/11/2017;Full initial audit;Announced;0;0;0;0;0;0;United States
XXX1040545;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA1119685;11/05/2015;Full initial audit;Announced;0;0;0;0;0;0;Spain
XXX1040556;Manufacture of spices, sauces and condiments;;;;;;;;;;;United States
XXX1040575;Manufacture of basic chemicals;XXXA600098646;18/11/2024;Periodic audit;Announced;0;0;0;0;0;0;China
XXX1040666;Manufacture of other articles of paper and paperboard;XXXA600164297;24/10/2025;Partial follow-up audit;Semi-announced;0;0;0;0;0;0;China
XXX1040753;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600154899;24/11/2025;Full initial audit;Announced;5;0;2;3;0;5;United States
XXX1040764;Manufacture of starches and starch products;XXXA423999117;23/05/2023;Periodic audit;Announced;0;0;0;0;0;0;United States
XXX1040764;Manufacture of starches and starch products;XXXA423999117;23/05/2023;Periodic audit;Announced;0;0;0;0;0;0;United States
XXX1040770;;;;;;;;;;;;United States
XXX1040773;;;;;;;;;;;;France
XXX1040825;Manufacture of other food products n.e.c.;XXXA600173950;04/03/2026;Periodic audit;Semi-announced;14;0;3;7;4;14;United States
XXX1040825;Manufacture of other food products n.e.c.;XXXA600173950;04/03/2026;Periodic audit;Semi-announced;14;0;3;7;4;14;United States
XXX1040841;Manufacture of other non-metallic mineral products n.e.c.;XXXA600123377;01/04/2025;Periodic audit;Announced;0;0;0;0;0;0;Brazil
XXX1040846;Manufacture of other food products n.e.c.;XXXA600201589;04/05/2026;Periodic audit;Semi-announced;2;0;0;2;0;0;Turkey
XXX1040846;Manufacture of other food products n.e.c.;XXXA600201589;04/05/2026;Periodic audit;Semi-announced;2;0;0;2;0;0;Turkey
XXX1040848;Processing and preserving of fruit and vegetables;XXXA600152021;24/11/2025;Full initial audit;Semi-announced;4;0;2;2;0;4;France
XXX1040855;Processing and preserving of fruit and vegetables;XXXA600187376;24/02/2026;Partial follow-up audit;Semi-announced;1;0;0;1;0;1;Indonesia
XXX1040893;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600096313;28/10/2024;Partial follow-up audit;Announced;0;0;0;0;0;0;Australia
XXX1040915;Manufacture of other food products n.e.c.;XXXA600119895;01/04/2025;Full initial audit;Semi-announced;0;0;0;0;0;0;United States Minor Outlying Islands
XXX1040944;;;;;;;;;;;;United Kingdom
XXX1040964;Manufacture of sugar;XXXA600085934;19/09/2024;Periodic audit;Semi-announced;1;0;1;0;0;1;China
XXX1040964;Manufacture of sugar;XXXA600085934;19/09/2024;Periodic audit;Semi-announced;1;0;1;0;0;1;China
XXX1040976;;;;;;;;;;;;Colombia
XXX1041017;Manufacture of pharmaceuticals, medicinal chemical and botanical products;XXXA600034451;15/11/2023;Periodic audit;Announced;0;0;0;0;0;0;Germany
XXX1041024;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600136920;09/06/2025;Partial follow-up audit;Announced;0;0;0;0;0;0;Indonesia
XXX1041024;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600136920;09/06/2025;Partial follow-up audit;Announced;0;0;0;0;0;0;Indonesia
XXX1041036;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA422951333;02/03/2023;Partial follow-up audit;Announced;0;0;0;0;0;0;United Kingdom
XXX1041038;;;;;;;;;;;;United States
XXX1041055;Manufacture of dairy products;XXXA600099962;10/12/2024;Partial follow-up audit;Announced;0;0;0;0;0;0;United Kingdom
XXX1041101;Manufacture of pulp, paper and paperboard;XXXA600134430;26/05/2025;Partial follow-up audit;Announced;1;0;0;1;0;1;Thailand
XXX1041105;Manufacture of pharmaceuticals, medicinal chemical and botanical products;XXXA600134105;30/05/2025;Periodic audit;Announced;0;0;0;0;0;0;Argentina
XXX1041117;;;;;;;;;;;;China
XXX1041154;Manufacture of other food products n.e.c.;XXXA600052966;08/04/2024;Periodic audit;Semi-announced;0;0;0;0;0;0;United States
XXX1041157;;;;;;;;;;;;Australia
XXX1041206;Manufacture of other food products n.e.c.;XXXA600110602;18/02/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;Denmark
XXX1041244;Processing and preserving of fruit and vegetables;;;;;;;;;;;Spain
XXX1041271;Manufacture of basic chemicals;XXXA600109766;17/01/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;Thailand
XXX1041300;Manufacture of other food products n.e.c.;;;;;;;;;;;Denmark
XXX1041345;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600166615;07/11/2025;Partial follow-up audit;Semi-announced;0;0;0;0;0;0;Germany
XXX1041369;Manufacture of sugar;XXXA422789804;28/03/2023;Periodic audit;Announced;0;0;0;0;0;0;France
XXX1041374;;;;;;;;;;;;United Kingdom
XXX1041398;Manufacture of pharmaceuticals, medicinal chemical and botanical products;XXXA1083308;25/06/2015;Full initial audit;Announced;0;0;0;0;0;0;Brazil
XXX1041425;Manufacture of other chemical products n.e.c.;XXXA600042364;08/01/2024;Periodic audit;Semi-announced;0;0;0;0;0;0;Argentina
XXX1041465;Manufacture of vegetable and animal oils and fats;XXXA600152488;01/09/2025;Partial follow-up audit;Announced;1;0;0;1;0;1;Belgium
XXX1041482;Other manufacturing n.e.c.;;;;;;;;;;;Mexico
XXX1041493;;;;;;;;;;;;Colombia
XXX1041519;Manufacture of starches and starch products;XXXA600153503;29/08/2025;Partial follow-up audit;Announced;0;0;0;0;0;0;India
XXX1041550;Manufacture of spices, sauces and condiments;XXXA1129346;15/10/2014;Full initial audit;Announced;0;0;0;0;0;0;United States
XXX1041553;Manufacture of other articles of paper and paperboard;XXXA600075077;07/10/2024;Periodic audit;Semi-announced;0;0;0;0;0;0;Germany
XXX1041554;;;;;;;;;;;;India
XXX1041565;Manufacture of grain mill products;XXXA600197145;13/04/2026;Partial follow-up audit;Announced;0;0;0;0;0;0;Spain
XXX1041569;Manufacture of plastics products;;;;;;;;;;;Spain
XXX1041584;Processing and preserving of fruit and vegetables;;;;;;;;;;;United States
XXX1041590;Manufacture of vegetable and animal oils and fats;XXXA600019152;23/01/2024;Full initial audit;Announced;0;0;0;0;0;0;New Zealand
XXX1041620;;;;;;;;;;;;Brazil
XXX1041652;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600131012;13/05/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;United States
XXX1041655;Other manufacturing n.e.c.;XXXA600192839;23/03/2026;Periodic audit;Semi-announced;0;0;0;0;0;0;China
XXX1041658;;;;;;;;;;;;Pakistan
XXX1041668;Manufacture of other food products n.e.c.;XXXA600147309;23/07/2025;Periodic audit;Announced;0;0;0;0;0;0;Brazil
XXX1041675;Manufacture of grain mill products;XXXA600139320;17/06/2025;Partial follow-up audit;Announced;0;0;0;0;0;0;Australia
XXX1041676;Printing;XXXA600059114;15/04/2024;Full initial audit;Announced;0;0;0;0;0;0;United States
XXX1041686;Manufacture of sugar;XXXA600188343;14/04/2026;Full initial audit;Semi-announced;2;0;0;2;0;1;Germany
XXX1041691;;;;;;;;;;;;United States
XXX1041695;Printing;;;;;;;;;;;Japan
XXX1041700;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;;;;;;;;;;;Germany
XXX1041744;Manufacture of sugar;;;;;;;;;;;France
XXX1041759;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;;;;;;;;;;;United States
XXX1041759;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;;;;;;;;;;;United States
XXX1041760;Manufacture of cocoa, chocolate and sugar confectionery;;;;;;;;;;;Singapore
XXX1041779;Manufacture of dairy products;;;;;;;;;;;United States
XXX1041791;Manufacture of dairy products;XXXA600144112;15/07/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;United States
XXX1041830;Manufacture of dairy products;XXXA419322625;25/05/2022;Full initial audit;Announced;0;0;0;0;0;0;United States
XXX1041838;Wholesale of food, beverages and tobacco;;;;;;;;;;;Australia
XXX1041845;Renting and leasing of other machinery, equipment and tangible goods;;;;;;;;;;;Belgium
XXX1041853;Manufacture of other food products n.e.c.;XXXA600172435;01/12/2025;Periodic audit;Announced;8;0;0;6;2;6;Poland
XXX1041901;Manufacture of plastics products;XXXA1073154;11/05/2015;Partial follow-up audit;Announced;0;0;0;0;0;0;Brazil
XXX1041926;Manufacture of sugar;XXXA600179824;22/01/2026;Periodic audit;Announced;0;0;0;0;0;0;Hungary
XXX1041933;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600103146;09/12/2024;Full initial audit;Semi-announced;15;0;1;7;7;15;Switzerland
XXX1041967;Manufacture of vegetable and animal oils and fats;XXXA600015606;12/09/2023;Full initial audit;Announced;0;0;0;0;0;0;Canada
XXX1041976;;XXXA415537339;24/06/2021;Full initial audit;Announced;0;0;0;0;0;0;Brazil
XXX1042012;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600161400;14/10/2025;Periodic audit;Announced;5;0;0;2;3;5;United States
XXX1042076;Manufacture of starches and starch products;XXXA600069665;25/06/2024;Full initial audit;Announced;0;0;0;0;0;0;Italy
XXX1042076;Manufacture of starches and starch products;XXXA600069665;25/06/2024;Full initial audit;Announced;0;0;0;0;0;0;Italy
XXX1042078;Manufacture of dairy products;XXXA405449137;24/10/2018;Full initial audit;Announced;0;0;0;0;0;0;United States
XXX1042078;Manufacture of dairy products;XXXA405449137;24/10/2018;Full initial audit;Announced;0;0;0;0;0;0;United States
XXX1042109;Manufacture of dairy products;;;;;;;;;;;Belgium
XXX1042176;;;;;;;;;;;;China
XXX1042231;Blending of tea and mat̩;XXXA600105055;20/12/2024;Full initial audit;Semi-announced;21;0;9;8;4;21;India
XXX1042260;;;;;;;;;;;;Brazil
XXX1042301;;;;;;;;;;;;Germany
XXX1042311;Processing and preserving of fruit and vegetables;XXXA600152521;07/10/2025;Full initial audit;Semi-announced;0;0;0;0;0;0;United States
XXX1042351;Mining of clays, refractory clays and kaolin;XXXA600153502;28/08/2025;Full initial audit;Announced;0;0;0;0;0;0;India
XXX1042383;Processing and preserving of fruit and vegetables;XXXA600094612;05/11/2024;Periodic audit;Announced;0;0;0;0;0;0;Poland
XXX1042399;Manufacture of other articles of paper and paperboard;XXXA409077922;08/07/2020;Full initial audit;Announced;0;0;0;0;0;0;Italy
XXX1042407;Printing;XXXA600048180;29/02/2024;Periodic audit;Semi-announced;0;0;0;0;0;0;Australia
XXX1042417;;;;;;;;;;;;India
XXX1042477;Manufacture of other chemical products n.e.c.;XXXA600120007;19/03/2025;Periodic audit;Announced;0;0;0;0;0;0;Turkey
XXX1042480;;;;;;;;;;;;Indonesia
XXX1042517;;;;;;;;;;;;France
XXX1042612;Manufacture of plastics products;;;;;;;;;;;Spain
XXX1042685;Manufacture of other chemical products n.e.c.;;;;;;;;;;;United States
XXX1042691;Manufacture of sugar;XXXA420625609;02/09/2022;Full initial audit;Announced;1;0;0;1;0;1;Brazil
XXX1042722;;;;;;;;;;;;Peru
XXX1042725;;;;;;;;;;;;Mexico
XXX1042742;;;;;;;;;;;;Mexico
XXX1042743;;;;;;;;;;;;Colombia
XXX1042749;;;;;;;;;;;;Costa Rica
XXX1042801;;;;;;;;;;;;Ireland, Republic of
XXX1042823;Manufacture of grain mill products;;;;;;;;;;;United States
XXX1042824;;;;;;;;;;;;United States
XXX1042852;;;;;;;;;;;;United States
XXX1042963;Manufacture of dairy products;XXXA600066651;05/08/2024;Full initial audit;Semi-announced;1;0;0;1;0;1;New Zealand
XXX1042993;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600161887;15/10/2025;Full initial audit;Semi-announced;0;0;0;0;0;0;Indonesia
XXX1043023;Manufacture of dairy products;;;;;;;;;;;Ireland, Republic of
XXX1043100;Manufacture of plastics products;XXXA600089346;12/09/2024;Partial follow-up audit;Announced;0;0;0;0;0;0;Viet Nam
XXX1043149;Manufacture of grain mill products;XXXA600066627;18/12/2024;Full initial audit;Announced;0;0;0;0;0;0;United States
XXX1043169;Manufacture of dairy products;XXXA415553514;25/06/2021;Periodic audit;Announced;0;0;0;0;0;0;Brazil
XXX1043311;Warehousing and storage;XXXA1073200;01/08/2013;Partial follow-up audit;Unannounced;0;0;0;0;0;0;Australia
XXX1043584;Manufacture of dairy products;XXXA600110722;22/01/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;Uruguay
XXX1043586;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600125420;27/08/2025;Full initial audit;Semi-announced;0;0;0;0;0;0;Czech Republic
XXX1043591;;;;;;;;;;;;Indonesia
XXX1043667;;;;;;;;;;;;Japan
XXX1043678;Printing;XXXA600183984;02/02/2026;Periodic audit;Semi-announced;0;0;0;0;0;0;China
XXX1043697;Manufacture of plastics products;XXXA600193909;03/04/2026;Partial follow-up audit;Announced;0;0;0;0;0;0;Malaysia
XXX1043712;;;;;;;;;;;;China
XXX1043725;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600194859;31/03/2026;Periodic audit;Announced;1;0;0;1;0;0;Poland
XXX1043735;Manufacture of other food products n.e.c.;;;;;;;;;;;United States
XXX1043739;Manufacture of glass and glass products;XXXA131483099;14/11/2016;Full initial audit;Semi-announced;0;0;0;0;0;0;United Kingdom
XXX1043771;Manufacture of other food products n.e.c.;XXXA600149241;05/08/2025;Full initial audit;Announced;2;0;0;2;0;2;India
XXX1043785;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA1136159;24/07/2014;Full initial audit;Announced;0;0;0;0;0;0;Botswana
XXX1043816;Manufacture of other food products n.e.c.;XXXA600037742;22/01/2024;Full initial audit;Announced;0;0;0;0;0;0;France
XXX1043835;Manufacture of other food products n.e.c.;XXXA426461658;09/01/2024;Partial follow-up audit;Announced;5;0;0;5;0;5;Netherlands
XXX1043915;Manufacture of dairy products;;;;;;;;;;;Netherlands
XXX1043991;Printing;XXXA600159090;25/11/2025;Full initial audit;Announced;15;0;1;11;3;15;United Kingdom
XXX1043994;Manufacture of cocoa, chocolate and sugar confectionery;;;;;;;;;;;United Kingdom
XXX1044010;;;;;;;;;;;;Lebanon
XXX1044015;Manufacture of other fabricated metal products n.e.c.;XXXA600113548;26/03/2025;Periodic audit;Announced;0;0;0;0;0;0;South Africa
XXX1044024;Manufacture of other fabricated metal products n.e.c.;XXXA600012919;06/06/2023;Full initial audit;Announced;5;0;3;2;0;5;India
XXX1044062;Manufacture of plastics products;XXXA600142703;02/07/2025;Periodic audit;Semi-announced;3;0;0;3;0;3;Brazil
XXX1044070;Manufacture of bakery products;XXXA600145895;22/07/2025;Partial follow-up audit;Semi-announced;0;0;0;0;0;0;United Kingdom
XXX1044075;;;;;;;;;;;;India
XXX1044094;Processing and preserving of fruit and vegetables;;;;;;;;;;;Germany
XXX1044118;Manufacture of plastics products;XXXA405692333;03/12/2018;Periodic audit;Announced;0;0;0;0;0;0;United States
XXX1044127;Printing;XXXA404880832;08/08/2018;Full initial audit;Announced;0;0;0;0;0;0;China
XXX1044156;;;;;;;;;;;;New Zealand
XXX1044184;Manufacture of other food products n.e.c.;XXXA600039802;20/12/2023;Periodic audit;Semi-announced;0;0;0;0;0;0;Germany
XXX1044203;;;;;;;;;;;;Canada
XXX1044221;;;;;;;;;;;;Malaysia
XXX1044232;;;;;;;;;;;;New Zealand
XXX1044305;;;;;;;;;;;;India
XXX1044310;Manufacture of spices, sauces and condiments;XXXA600160794;21/10/2025;Full initial audit;Semi-announced;0;0;0;0;0;0;United States
XXX1044320;Manufacture of other food products n.e.c.;XXXA411324121;11/08/2020;Full initial audit;Announced;2;0;0;1;1;2;United States
XXX1044349;Growing of sugar beet;;;;;;;;;;;France
XXX1044357;Manufacture of plastics and synthetic rubber in primary forms;XXXA600034404;14/11/2023;Full initial audit;Announced;1;0;0;1;0;1;Netherlands
XXX1044373;Manufacture of other food products n.e.c.;XXXA414061060;07/06/2021;Full initial audit;Announced;0;0;0;0;0;0;Australia
XXX1044378;Manufacture of sugar;XXXA600161635;21/10/2025;Periodic audit;Semi-announced;3;0;0;0;3;3;France
XXX1044379;Manufacture of sugar;XXXA600167708;17/11/2025;Periodic audit;Semi-announced;5;0;0;2;3;4;France
XXX1044417;;;;;;;;;;;;Colombia
XXX1044425;Manufacture of dairy products;XXXA600085256;14/10/2024;Full initial audit;Announced;0;0;0;0;0;0;New Zealand
XXX1044425;Manufacture of dairy products;XXXA600085256;14/10/2024;Full initial audit;Announced;0;0;0;0;0;0;New Zealand
XXX1044437;Packaging activities;XXXA600159628;14/10/2025;Periodic audit;Semi-announced;11;0;2;6;3;11;Mexico
XXX1044452;Manufacture of other food products n.e.c.;XXXA600162168;14/10/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;China
XXX1044461;Manufacture of spices, sauces and condiments;XXXA600148106;12/08/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;Mexico
XXX1044477;Manufacture of sugar;XXXA600187395;23/02/2026;Partial follow-up audit;Announced;0;0;0;0;0;0;India
XXX1044486;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;;;;;;;;;;;France
XXX1044489;Manufacture of glass and glass products;XXXA600065309;25/06/2024;Full initial audit;Announced;0;0;0;0;0;0;Germany
XXX1044496;Manufacture of plastics products;XXXA600084256;27/08/2024;Periodic audit;Announced;0;0;0;0;0;0;El Salvador
XXX1044531;Manufacture of plastics products;XXXA600191478;13/03/2026;Partial follow-up audit;Announced;2;0;1;1;0;2;Portugal
XXX1044561;;;;;;;;;;;;Turkey
XXX1044573;;;;;;;;;;;;Thailand
XXX1044574;Manufacture of spices, sauces and condiments;XXXA600180115;14/01/2026;Full initial audit;Semi-announced;12;2;1;5;4;12;Philippines
XXX1044575;;;;;;;;;;;;Malaysia
XXX1044576;Manufacture of spices, sauces and condiments;;;;;;;;;;;United States
XXX1044585;Manufacture of other food products n.e.c.;XXXA600037632;07/12/2023;Periodic audit;Announced;0;0;0;0;0;0;Turkey
XXX1044593;Processing and preserving of fruit and vegetables;;;;;;;;;;;Morocco
XXX1044606;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;;;;;;;;;;;United States
XXX1044607;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;;;;;;;;;;;United States
XXX1044613;;;;;;;;;;;;Australia
XXX1044629;;;;;;;;;;;;China
XXX1044636;Renting and leasing of other machinery, equipment and tangible goods;;;;;;;;;;;United Kingdom
XXX1044637;Renting and leasing of other machinery, equipment and tangible goods;;;;;;;;;;;United Kingdom
XXX1044639;Manufacture of other articles of paper and paperboard;XXXA414167572;16/03/2021;Full initial audit;Announced;1;0;0;1;0;1;South Africa
XXX1044641;;;;;;;;;;;;China
XXX1044646;Manufacture of dairy products;;;;;;;;;;;Turkey
XXX1044700;Printing;XXXA600099254;11/06/2025;Periodic audit;Semi-announced;1;0;0;0;1;1;United States
XXX1044727;Manufacture of sugar;XXXA600182466;30/01/2026;Partial follow-up audit;Announced;0;0;0;0;0;0;Viet Nam
XXX1044750;;;;;;;;;;;;France
XXX1044752;Manufacture of dairy products;XXXA600202288;04/05/2026;Full initial audit;Semi-announced;2;0;0;1;1;0;United States
XXX1044756;Manufacture of dairy products;XXXA600116005;24/02/2025;Full initial audit;Announced;5;0;0;1;4;5;United States
XXX1044781;Manufacture of vegetable and animal oils and fats;;;;;;;;;;;Brazil
XXX1044794;Manufacture of sugar;XXXA600142949;17/11/2025;Full initial audit;Announced;8;0;0;7;1;7;R̩union
XXX1044795;Manufacture of vegetable and animal oils and fats;XXXA600105663;07/01/2025;Full initial audit;Semi-announced;0;0;0;0;0;0;Italy
XXX1044819;;;;;;;;;;;;China
XXX1044821;Manufacture of other food products n.e.c.;;;;;;;;;;;United States
XXX1044849;Manufacture of plastics products;;;;;;;;;;;Russian Federation
XXX1044857;Manufacture of dairy products;;;;;;;;;;;Switzerland
XXX1044901;Manufacture of other food products n.e.c.;;;;;;;;;;;Argentina
XXX1044916;Manufacture of other food products n.e.c.;XXXA600180768;23/02/2026;Partial follow-up audit;Announced;22;0;5;10;7;4;Mexico
XXX1044925;Manufacture of dairy products;XXXA600177411;29/12/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;India
XXX1044936;Printing;;;;;;;;;;;France
XXX1044955;Manufacture of vegetable and animal oils and fats;XXXA600196239;14/04/2026;Periodic audit;Semi-announced;3;0;0;1;2;0;Viet Nam
XXX1044995;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600088653;04/11/2024;Full initial audit;Announced;13;0;2;9;2;13;United States
XXX1045029;Service activities related to printing;XXXA600162133;13/10/2025;Partial follow-up audit;Announced;0;0;0;0;0;0;Philippines
XXX1045033;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600087310;11/09/2024;Periodic audit;Announced;0;0;0;0;0;0;India
XXX1045044;Manufacture of plastics products;XXXA420959134;26/10/2022;Periodic audit;Announced;1;0;0;0;1;1;Spain
XXX1045119;;;;;;;;;;;;Japan
XXX1045144;;;;;;;;;;;;Peru
XXX1045149;;;;;;;;;;;;Australia
XXX1045168;Manufacture of dairy products;XXXA600175577;05/02/2026;Periodic audit;Announced;7;0;1;5;1;7;Belgium
XXX1045189;;;;;;;;;;;;United States
XXX1045204;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600109284;27/01/2025;Periodic audit;Announced;2;0;0;1;1;2;Mexico
XXX1045204;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600109284;27/01/2025;Periodic audit;Announced;2;0;0;1;1;2;Mexico
XXX1045229;Manufacture of sugar;XXXA600185237;11/02/2026;Full initial audit;Semi-announced;8;0;1;6;1;8;United States
XXX1045255;;;;;;;;;;;;Mexico
XXX1045286;Manufacture of vegetable and animal oils and fats;XXXA600151360;19/08/2025;Full initial audit;Announced;0;0;0;0;0;0;Czech Republic
XXX1045289;Manufacture of dairy products;;;;;;;;;;;New Zealand
XXX1045292;;;;;;;;;;;;Japan
XXX1045296;Manufacture of plastics products;XXXA406887656;16/05/2019;Full initial audit;Announced;0;0;0;0;0;0;United States
XXX1045317;;;;;;;;;;;;Argentina
XXX1045352;Manufacture of sugar;XXXA600186088;15/04/2026;Periodic audit;Announced;1;0;0;1;0;0;Czech Republic
XXX1045398;Production of coffee products;;;;;;;;;;;Italy
XXX1045477;Manufacture of spices, sauces and condiments;XXXA600124154;05/05/2025;Partial follow-up audit;Semi-announced;0;0;0;0;0;0;Belgium
XXX1045479;;;;;;;;;;;;India
XXX1045511;Manufacture of sugar;XXXA600197922;21/04/2026;Periodic audit;Announced;8;0;1;5;2;3;United States
XXX1045529;;;;;;;;;;;;United Arab Emirates
XXX1045538;;;;;;;;;;;;Singapore
XXX1045545;Manufacture of plastics products;;;;;;;;;;;Canada
XXX1045552;Manufacture of other food products n.e.c.;;;;;;;;;;;Norway
XXX1045583;;;;;;;;;;;;Nigeria
XXX1045595;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA422278522;12/01/2023;Periodic audit;Announced;0;0;0;0;0;0;Mexico
XXX1045653;Manufacture of dairy products;XXXA600131157;09/06/2025;Periodic audit;Semi-announced;1;0;0;1;0;1;United Kingdom
XXX1045749;Manufacture of other chemical products n.e.c.;XXXA600070277;01/07/2024;Full initial audit;Announced;0;0;0;0;0;0;Hungary
XXX1045759;Manufacture of dairy products;XXXA600149857;12/08/2025;Periodic audit;Announced;0;0;0;0;0;0;Argentina
XXX1045775;;;;;;;;;;;;Mexico
XXX1045826;Manufacture of dairy products;XXXA600044955;23/04/2024;Full initial audit;Semi-announced;1;0;0;1;0;1;Germany
XXX1045890;Manufacture of plastics products;XXXA600143716;11/08/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;Taiwan
XXX1046049;;;;;;;;;;;;Brazil
XXX1046164;Manufacture of dairy products;;;;;;;;;;;Netherlands
XXX1046170;Manufacture of other food products n.e.c.;XXXA600187444;26/02/2026;Partial follow-up audit;Announced;0;0;0;0;0;0;Thailand
XXX1046233;Manufacture of vegetable and animal oils and fats;XXXA420262189;27/07/2022;Periodic audit;Announced;0;0;0;0;0;0;Viet Nam
XXX1046310;Manufacture of grain mill products;;;;;;;;;;;Egypt
XXX1046359;Other human resources provision;XXXA600168659;14/11/2025;Partial follow-up audit;Announced;0;0;0;0;0;0;Viet Nam
XXX1046450;Manufacture of bakery products;;;;;;;;;;;Canada
XXX1046481;Manufacture of starches and starch products;;;;;;;;;;;France
XXX1046497;Wholesale of food, beverages and tobacco;;;;;;;;;;;New Zealand
XXX1046503;;;;;;;;;;;;Argentina
XXX1046508;Manufacture of other food products n.e.c.;XXXA410406567;04/06/2020;Full initial audit;Announced;0;0;0;0;0;0;Italy
XXX1046512;Manufacture of basic chemicals;XXXA600146711;22/07/2025;Full initial audit;Announced;0;0;0;0;0;0;Australia
XXX1046526;Manufacture of spices, sauces and condiments;XXXA600077244;29/07/2024;Periodic audit;Announced;3;0;0;1;2;3;United Kingdom
XXX1046532;Manufacture of plastics products;XXXA600025382;30/10/2023;Full initial audit;Announced;0;0;0;0;0;0;Canada
XXX1046561;Manufacture of sugar;XXXA600044988;07/02/2024;Partial follow-up audit;Announced;0;0;0;0;0;0;United Kingdom
XXX1046561;Manufacture of sugar;XXXA600044988;07/02/2024;Partial follow-up audit;Announced;0;0;0;0;0;0;United Kingdom
XXX1046561;Manufacture of sugar;XXXA600044988;07/02/2024;Partial follow-up audit;Announced;0;0;0;0;0;0;United Kingdom
XXX1046577;Printing;XXXA600132725;29/05/2025;Periodic audit;Announced;0;0;0;0;0;0;Greece
XXX1046693;Manufacture of plastics products;XXXA600180974;20/01/2026;Periodic audit;Semi-announced;0;0;0;0;0;0;Peru
XXX1046727;Manufacture of other food products n.e.c.;XXXA600111030;17/02/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;United Kingdom
XXX1046727;Manufacture of other food products n.e.c.;XXXA600111030;17/02/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;United Kingdom
XXX1046732;Manufacture of wearing apparel (clothing), except fur apparel;XXXA600120764;31/03/2025;Periodic audit;Semi-announced;1;0;0;1;0;1;United Kingdom
XXX1046746;;;;;;;;;;;;United Kingdom
XXX1046755;Manufacture of plastics products;XXXA600195787;06/04/2026;Partial follow-up audit;Semi-announced;0;0;0;0;0;0;India
XXX1046783;Manufacture of dairy products;;;;;;;;;;;Netherlands
